row_id,congestion
848835,50.203142687829555
848836,49.930675519539435
848837,49.11317095287653
848838,48.829540376833286
848839,48.55707320854316
848840,47.739568641880254
848841,46.92206407521735
848842,47.455989596733275
848843,47.183522428443155
848844,46.36601786178025
848845,45.548513295117345
848846,46.08243881663327
848847,45.80997164834315
848848,45.53750448005303
848849,44.99251861257652
848850,44.447532745100006
848851,44.175065576809885
848852,51.20147996380409
848853,50.92901279551397
848854,50.65654562722385
848855,50.11155975974734
848856,49.566573892270824
848857,49.294106723980704
848858,49.82803224549664
848859,49.55556507720651
848860,48.738060510543605
848861,47.9205559438807
848862,48.454481465396626
848863,48.182014297106505
848864,47.909547128816385
848865,47.364561261339865
848866,46.81957539386335
848867,46.54710822557323
848868,47.081033747089165
848869,46.808566578799045
848870,46.536099410508925
848871,45.991113543032405
848872,45.44612767555589
848873,45.17366050726577
848874,52.20007489425998
848875,51.92760772596986
848876,51.11010315930695
848877,50.29259859264405
848878,50.82652411415997
848879,50.55405694586985
848880,50.28158977757973
848881,50.00912260928961
848882,49.73665544099949
848883,49.46418827270937
848884,49.191721104419244
848885,48.919253936129124
848886,49.45317945764505
848887,49.18071228935493
848888,48.90824512106481
848889,48.63577795277469
848890,48.36331078448457
848891,48.09084361619444
848892,47.81837644790432
848893,47.5459092796142
848894,48.07983480113013
848895,47.80736763284001
848896,47.53490046454989
848897,46.98991459707337
848898,46.44492872959686
848899,46.17246156130674
848900,50.215358629949826
848901,49.942891461659705
848902,49.1253868949968
848903,48.84175631895355
848904,48.56928915066343
848905,47.751784584000525
848906,46.93428001733762
848907,47.468205538853546
848908,47.195738370563426
848909,46.37823380390052
848910,45.56072923723761
848911,46.09465475875354
848912,45.82218759046342
848913,45.5497204221733
848914,45.00473455469679
848915,44.45974868722028
848916,44.18728151893015
848917,51.21369590592436
848918,50.94122873763424
848919,50.66876156934412
848920,50.12377570186761
848921,49.578789834391095
848922,49.306322666100975
848923,49.8402481876169
848924,49.56778101932678
848925,48.750276452663876
848926,47.93277188600097
848927,48.4666974075169
848928,48.194230239226776
848929,47.92176307093665
848930,47.376777203460136
848931,46.831791335983624
848932,46.559324167693504
848933,47.093249689209436
848934,46.820782520919316
848935,46.54831535262919
848936,46.003329485152676
848937,45.458343617676164
